№ п/п,№ п/п (по субъектам),"Регистрационный номер в едином государственном реестре объектов культурного наследия (памятников истории 
и культуры) народов Российской Федерации",Наименование объекта культурного наследия,"Датировка, автор",Категория историко-культурного значения объекта культурного наследия,Вид объекта культурного наследия,"Номер акта органа государственной власти
о постановке
на государственную охрану
и о внесении
изменений
в описание*",Тип улицы,Название улицы,Номер дома
1437,16,661710757850025,ворота и ограда,,регионального значения,памятник,,,,
1438,17,661710757850035,часовня деревянная,,регионального значения,памятник,,,,
1439,18,661710757850045,часовня каменная,,регионального значения,памятник,,,,
1440,19,661710757860005,Могила врача М.И Мизерова,1913 г.,регионального значения,памятник,454,,городское кладбище,
Кушвинский городской округ,,,,,,,,,,
1441,1,661710751310005,"Дом бывшего управителя Кушвинского чугунолитейного завода, где в 1848-1852 гг. жил инженер металлург 
П.М. Обухов",,регионального значения,памятник,454,,"г. Кушва, 
ул. Первомайская, 
д. 36",
,,,"Объекты 
археологического наследия",,,,,,,
1442,2,661740755150006,Баранчинское поселение,"мезолит,
поздний неолит",федерального значения,памятник,535,,,
1443,3,661740754960006,Стоянка Боровка II,"мезолит,
ранний железный век",федерального значения,памятник,535,,,
1444,4,661740754970006,Стоянка Боровка IV,бронзовый век,федерального значения,памятник,535,,,
1445,5,661740754950006,Стоянка Боровка V,мезолит,федерального значения,памятник,535,,,
1446,6,661740755120006,Ст. Баранча V,мезолит,федерального значения,памятник,454,,,
1447,7,661740755130006,Мастерская Боровка III,поздний неолит,федерального значения,памятник,454,,,
1448,8,661740755140006,Кокуй -городок,"железный век, ХVIII в.",федерального значения,памятник,454,,,
Городской округ «Город Лесной»,,,,,,,,,,
1449,1,661710759200004,Дом культуры «Современник»,1957 г.,местного (муниципального) значения,памятник,582-ПП,,"ул. Ленина, д. 22",
1450,2,661710759170004,Здание кинотеатра «40 лет Октября»,1957 г.,местного (муниципального) значения,памятник,582-ПП,,"ул. Ленина, д. 41",
Махнёвское муниципальное образование,,,,,,,,,,
1451,1,661710828730005,"Здание Мугайской школы 
(в деревянном исполнении 
с элементами стиля модерн)",1909-1911 гг.,регионального значения,памятник,454,,"с. Мугай, 
ул. Октябрьская, д. 93",
,,,"Объекты 
археологического наследия",,,,,,,
1452,2,661740755640006,Наскальные рисунки,эпоха бронзы,федерального значения,памятник,624,,,
Невьянский городской округ,,,,,,,,,,
1453,1,661711004730006,Наклонная башня Демидовых,XVIII в.,федерального значения,памятник,"1327,
приложение № 1",,"г. Невьянск,
сквер Демидовых, здание 3",
1454,2,661711017140005,Производственный корпус Невьянского механического завода,XVIII в.,регионального значения,памятник,636,,механический завод,
1455,3,661711017130005,Подсобное помещение литейного цеха Невьянского механического завода,XVIII в.,регионального значения,памятник,636,,механический завод,
1456,4,661721017150005,Невьянский механический завод,XVIII-XX вв.,регионального значения,ансамбль,75,,территория Невьянского механического завода,
1457,5,661711017150015,кричный цех,XVIII-XX вв.,регионального значения,памятник,,,"пр. Октябрьский, здание 2",
1458,6,661711017150025,плотина,XVIII в.,регионального значения,памятник,,,"сквер Демидовых, строение 9",
1459,7,661711017150035,электростанция,1915 г.,регионального значения,памятник,,,"Исторический центр «Старый Невьянский завод», здание 2",
1460,8,661711017150045,дымовая труба,1915 г.,регионального значения,памятник,,,Утрачен,
1461,9,661711017150055,Преображенский собор,XIX в.,регионального значения,памятник,,,"Исторический центр «Старый Невьянский завод», здание 1",
1462,10,661710983830005,Торговая лавка Пискунова,"середина
XIX в.",регионального значения,памятник,75,,"ул. Володарского, д. 1",
1463,11,661710794080005,Дом торговца Громазова,конец XIX в.,регионального значения,памятник,75,,"ул. Карла Маркса, д. 4",
1464,12,661710794090005,Здание гимназии - бывший купеческий особняк,"середина
XIX в.",регионального значения,памятник,75,,"ул. Карла Маркса, д. 6",
1465,13,661710794070005,Жилой дом в «кирпичном стиле»,1890 г.,регионального значения,памятник,75,,"ул. Карла Маркса, 
д. 11",
1466,14,661710983770005,Особняк Носова,конец XIX в.,регионального значения,памятник,75,,"ул. Кирова, д. 9",
1467,15,661711097560005,Купеческий дом,конец XIX в.,регионального значения,памятник,75,,"ул. Кирова, д. 13-15",
1468,16,661721004740005,Усадьба купца А.Л. Войтехова,конец XIX в.,регионального значения,ансамбль,75,,"ул. Кирова, д. 16-18",
1469,17,661711004740015,жилой дом,,регионального значения,памятник,,,"ул. Кирова, д. 18",
1470,18,661711004740035,лавка,,регионального значения,памятник,,,"ул. Кирова, д. 18",
1471,19,661711004740025,доходный дом,,регионального значения,памятник,,,"ул. Кирова, д. 16",
1472,20,661710983920005,Особняк,конец XIX в.,регионального значения,памятник,75,,"ул. Кирова, д. 21",
1473,21,661710983850005,Дом в стиле классицизма,конец XIX в.,регионального значения,памятник,75,,"ул. Кирова, д. 27",
1474,22,661711097550005,Доходный дом,конец XIX в.,регионального значения,памятник,75,,"ул. Кирова, д. 34",
1475,23,661710983960005,Жилой дом,конец XIX в.,регионального значения,памятник,75,,"ул. Кирова, д. 39",
1476,24,661710983860005,Жилой дом купца Богомолова,конец XIX в.,регионального значения,памятник,75,,"ул. Кирова, д. 46",
1477,25,661710770870005,Кирпичное здание школы,начало XX в.,регионального значения,памятник,75,,"ул. Кирова, д. 47",
1478,26,661711097570005,"Купеческий особняк 
И.З. Карпова",начало XX в.,регионального значения,памятник,75,,"ул. Комсомольская, 
д. 3",
1479,27,661720983840005,Усадьба купца Французова,"середина
XIX в.",регионального значения,ансамбль,75,,"ул. Комсомольская, 
д. 4",
1480,28,661711078590005,Жилой дом,конец XIX-начало XX в.,регионального значения,памятник,75,,"ул. Комсомольская, 
д. 6",
1481,29,661710794130005,Торговая лавка,"вторая половина 
XIX в.",регионального значения,памятник,75,,"ул. Комсомольская, 
д. 6а",
1482,30,661711097530005,Жилой дом,конец XIX в.,регионального значения,памятник,75,,"ул. Комсомольская, 
д. 14",
1483,31,661720983870005,Городская усадьба золотопромышленника Подвинцева,"середина
XIX в.",регионального значения,ансамбль,75,,"ул. Комсомольская, 
д. 18",
1484,32,661710983820005,Жилой дом,конец XIX в.,регионального значения,памятник,75,,"ул. Комсомольская, 
д. 21",
1485,33,661710983910005,Жилой дом по «образцовым» фасадам,"середина
XIX в.",регионального значения,памятник,75,,"ул. Комсомольская, 
д. 23, д. 25",
1486,34,661710983780005,Здание бывшей староверческой церкви,конец XIX в.,регионального значения,памятник,75,,"ул. Комсомольская, 
д. 37",
1487,35,661711078570005,Жилой дом,конец XIX в.,регионального значения,памятник,75,,"ул. Кропоткина, д. 2",
1488,36,661710983970005,"Здание, в котором в годы Великой Отечественной войны размещался госпиталь",1941-1945 гг.,регионального значения,памятник,75,,"ул. Красноармейская, д. 13",
1489,37,661720983950005,Городская усадьба купца Селянина,"середина
XIX в.",регионального значения,ансамбль,75,,"ул. Крылова, д. 1",
1490,38,661710983950035,жилой дом,,регионального значения,памятник,,,,
1491,39,661710983950015,флигель,,регионального значения,памятник,,,,
1492,40,661710983950025,хозпостройки,,регионального значения,памятник,,,,
1493,41,661710758040005,“Царская” церковь,"середина
XIX в.",регионального значения,памятник,75,,"ул. Крылова, д. 20",
1494,42,661710794140005,Купеческий особняк Власова,конец XIX в.,регионального значения,памятник,75,,"ул. Луначарского, д. 4",
1495,43,661710983880005,"Здание, в котором в годы Великой Отечественной войны размещался госпиталь",1941-1945 гг.,регионального значения,памятник,75,,"ул. Луначарского, 
д. 26",
1496,44,661710983890005,"Школа, в которой учился Герой Советского Союза 
В.В. Гомзин",,регионального значения,памятник,75,,"ул. Малышева, д. 52",
1497,45,661710983900005,"Здание, в котором находился Невьянский городской окружной комитет коммунистического союза молодежи",1919-1921 гг.,регионального значения,памятник,75,,"ул. Матвеева, д. 6",
1498,46,661710794060005,"Особняк с лавкой купца 
М.Д. Мередина",конец XVIII-начало XIX в.,регионального значения,памятник,75,,"пр. Октябрьский, д. 3",
1499,47,661710794100005,Особняк купца Пискунова,"середина
XIX в.",регионального значения,памятник,75,,"пр. Октябрьский, д. 15",
1500,48,661710794110005,Жилой дом,конец XIX в.,регионального значения,памятник,75,,"пр. Октябрьский, д. 19",
1501,49,661711097540005,Купольный склад муки купца Пискунова,начало XX в.,регионального значения,памятник,75,,"ул. Попова, д. 27а",
1502,50,661710983790005,Купеческий дом,1890 г.,регионального значения,памятник,75,,"ул. Профсоюзов, д. 1",
1503,51,661710983800005,Купеческий особняк,конец XIX в.,регионального значения,памятник,75,,"ул. Профсоюзов, д. 4",
1504,52,661710995130005,"Здание, в котором в годы Великой Отечественной войны размещался госпиталь",1941-1945 гг.,регионального значения,памятник,75,,"ул. Самойлова, д. 4",
1505,53,661710983810005,Особняк купца Дождева,"середина
XIX в.",регионального значения,памятник,75,,"ул. Советская, д. 16",
1506,54,661710794120005,Постоялый двор,начало XIX в.,регионального значения,памятник,75,,"ул. 1905 г., д. 4",
1507,55,661710983940005,Жилой дом,конец XIX в.,регионального значения,памятник,75,,"ул. Урицкого, д. 1",
1508,56,661710983930005,Жилой дом,начало XX в.,регионального значения,памятник,75,,"ул. Энгельса, д. 18",
1509,57,661721004720005,Комплекс,,регионального значения,ансамбль,75,,,
1510,58,661711004720025,жилой дом,начало XX в.,регионального значения,памятник,,,"ул. Энгельса, д. 40",
1511,59,661711004720015,жилой дом,начало XX в.,регионального значения,памятник,,,"ул. Энгельса, д. 42",
1512,60,661710917290006,Никольская церковь,1780-1790 гг.,федерального значения,памятник,"1327,
приложение № 2;
176",,"с. Быньги, ул. Мартьянова, здание 2",
1513,61,661710820940005,Церковь Казанская,1852-1871 гг.,регионального значения,памятник,535,,"с. Быньги, ул. Ленина, здание 36",
1514,62,661710820930005,Церковь,XIX в.,регионального значения,памятник,535,,"с. Шурала, ул. Ленина, здание 16",
,,,"Объекты
археологического наследия",,,,,,,
1515,63,661740747320006,Аятское I поселение,"неолит, 
ранняя бронза, ранний железный век, средневековье",федерального значения,памятник,454,,,
1516,64,661740747350006,Жертвенное место Кырман,,федерального значения,памятник,454,,,
1517,65,661740747340006,Ст. Кырманская I,"ранний железный век, иткульская культура",федерального значения,памятник,454,,,
1518,66,661740747360006,Стоянка «Шайтанка»,,федерального значения,памятник,"1327, 
приложение № 1",,,
1519,67,661740747330006,Ст. Таватуй,неолит,федерального значения,памятник,454,,,
Городской округ Верх-Нейвинский,,,,,,,,,,
1520,1,,Контора Верх-Нейвинского завода (Дом-графин),"1804 г., 
1826-1841 гг.",федерального значения,памятник,670,,"пгт. Верх-Нейвинский, пл. Революции, д. 3",
1521,2,,Здание волостного правления,конец XIX в.,регионального значения,памятник,40,,"р.п. Верх-Нейвинский, пл. Революции, д. 10",
Нижнесергинский муниципальный район,,,,,,,,,,
1522,1,661710817820005,Запорный узел заводской плотины Сергинского металлургического завода,"вторая половина
XVIII в.",регионального значения,памятник,636,,"г. Нижние Серги, металлургический завод",
1523,2,661710817810005,Механический цех Нижне-Сергинского металлургического завода,"середина
XIX в.",регионального значения,памятник,636,,"г. Нижние Серги, металлургический завод",
1524,3,661710758000005,Литейный цех Верхне-Сергинского долотного завода,1750 г.,регионального значения,памятник,636,,"р.п. Верхние Серги, долотный завод",
1525,4,661710757990005,Склад технических материалов Михайловского металлургического завода,1815 г.,регионального значения,памятник,636,,Михайловский металлургический завод,
1526,5,661610747140005,Церковь,XVIII в.,регионального значения,памятник,535,,"с. Кленовское, 
ул. Ленина, д. 79",
,,,"Объекты
археологического наследия",,,,,,,
1527,6,661740747160006,Усть-Бардымская стоянка,неолит,федерального значения,памятник,454,,,
1528,7,661740747150006,Сергинская писаница,затруднена,федерального значения,памятник,454,,,
Нижнетуринский городской округ,,,,,,,,,,
1529,1,661710986330005,"Завод Нижнетуринский железоделательный:
заводоуправление","1829 г., архитектор 
А.З. Комаров",регионального значения,памятник,859-ПП,,"г. Нижняя Тура, 
ул. Советская, д. 2",
Город Нижний Тагил,,,,,,,,,,
1530,1,661711035380005,Дом Добродеева И.Я.,XIX в.,регионального значения,памятник,"454; 452;
1306-п",,"ул. Большегальяновская, д. 144",
1531,2,661710842480006,"Дом, в котором жили крепостные Черепановы Ефим Алексеевич и Мирон Ефимович",,федерального значения,памятник,"1327, 
приложение № 1",,"ул. Верхняя Черепанова, д. 1",
1532,3,661710975100005,"Могила писателя 
А.П. Бондина",1939 г.,регионального значения,памятник,454,,"городской парк культуры 
и отдыха",
1533,4,661710820880005,Бюст А.П. Бондина,"1947 г., скульптор
М.П. Крамской",регионального значения,памятник,"1327, 
приложение № 2",,городской парк,
1534,5,661720975140006,Здание заводского госпиталя,"1829 г., архитектор А.П. Чеботарев",федерального значения,ансамбль,624,,"ул. Горошникова, д. 37",
1535,6,661710975110005,"Дом, где с 1941 по 1944 год 
в квартире № 1 жил академик Е.О. Патон",,регионального значения,памятник,454; 207-ПП,,"пр. Дзержинского, 
д. 34, кв. 1",
1536,7,661720974960006,Комплекс зданий района «Красный камень»,"1930-е гг., архитектор М.Я. Гинзбург",федерального значения,ансамбль,624,,район Красный Камень,
1537,8,661710974960016,жилой дом,,федерального значения,памятник,,,"ул. Жуковского, д. 8",
1538,9,661710974960026,жилой дом,,федерального значения,памятник,,,"ул. Жуковского, д. 20",
1539,10,661720821330005,"Комплекс домов 
по ул. Ильича, построенные 
в духе советского конструктивизма",1930-1940 гг.,регионального значения,ансамбль,16,,"ул. Ильича, д. 2, 4, 6, 8",
1540,11,661720975240005,Купеческая усадьба,,регионального значения,ансамбль,859-ПП,,"ул. Карла Маркса, д. 3",
1541,12,661710974910005,Купеческая усадьба,,регионального значения,памятник,859-ПП,,"ул. Карла Маркса, 
д. 5 «А»",
1542,13,661710975150005,Дом золотоскупщика Митькина. Здесь открылся первый краеведческий музей,1924 г.,регионального значения,памятник,859-ПП,,"ул. Карла Маркса, 
д. 10",
1543,14,661710975070005,Дом торговца Колодкина,,регионального значения,памятник,859-ПП,,"ул. Карла Маркса, 
д. 18",
1544,15,661710820890005,"Дом подрядчика Белова.
Здесь в 1930-е годы жил 
Ш.С. Окуджава – отец поэта Б.Ш. Окуджавы","вторая половина
XIX в.",регионального значения,памятник,859-ПП; 207-ПП,,"ул. Карла Маркса, 
д. 20 «А»",
1545,16,661710975050005,"Бывший дом золотопромышленника Треухова, построенный в стиле модерн",начало XX в.,регионального значения,памятник,454,,"ул. Карла Маркса, 
д. 21",
1546,17,661720787850005,Дом и магазин Балыкова,,регионального значения,ансамбль,859-ПП,,"ул. Карла Маркса, 
д. 27",
1547,18,661710787860005,Аптека Лохтина,,регионального значения,памятник,859-ПП,,"ул. Карла Маркса, 
д. 29",
1548,19,661710975020005,Здание банка,,регионального значения,памятник,859-ПП,,"ул. Карла Маркса, 
д. 31",
1549,20,661710975010005,Дом купца Ляпцева в стиле «модерн»,,регионального значения,памятник,859-ПП,,"ул. Карла Маркса, 
д. 37-39",
1550,21,661710975310005,"Дом, где в 1920 г. проходила первая уездная большевистская конференция, а в 1923 г. возник первый пионерский отряд",,регионального значения,памятник,454,,"ул. Карла Маркса, 
д. 37-39",
1551,22,661720975090005,Дома предпринимателя Кокушкина («Торговый дом Кокушкина и К»),,регионального значения,ансамбль,859-ПП,,"ул. Карла Маркса, 
д. 47, 49",
1552,23,661710975120005,"Дом торговца Лебедева.
Конспиративная квартира Нижнетагильской группы РСДРП (Б) в 1901-1905 гг.",,регионального значения,памятник,"859-ПП;
 
454",,"ул. Карла Маркса,
д. 53",
1553,24,661710975230005,Бывший дом тагильского купца Волгина,"первая половина
XIX в.",регионального значения,памятник,454,,"ул. Кирова, д. 2, строение 1",
1554,25,661720975080005,"Дома, построенные в стиле классицизма для заводских служащих Демидова","первая половина
XIX в., архитекторы К.А. Луценко, А.З. Комаров",регионального значения,ансамбль,454,,"ул. Кирова, д. 19, 21",
1555,26,661710975290005,"Дом, где в 1878 г. жил писатель Д.Н. Мамин-Сибиряк.
Дом начальника рудника",XIX в.,регионального значения,памятник,"454
 
 
535",,"ул. Кирова, д. 37",
1556,27,661710787820005,Дом Бондина А.П.,XIX-XX вв.,регионального значения,памятник,"454; 452 
1306-п",,"ул. Красноармейская, д. 8",
1557,28,661720820870005,Монастырь Скорбященский женский,начало XX в.,регионального значения,ансамбль,859-ПП,,"ул. Красногвардейская, 
д. 55",
1558,29,661710820870015,собор Крестовоздвиженский,,регионального значения,памятник,,,,
1559,30,661710820870025,часовня,,регионального значения,памятник,,,,
1560,31,661720784240006,Дом Демидова и здание музея,XVIII в.,федерального значения,ансамбль,"1327, 
приложение № 1",,"пр. Ленина, д. 1",
1561,32,661710787930005,Магазин провиантский верхний,"первая четверть
XIX в., 
1989-2005 гг. (реставрация)",регионального значения,памятник,"1327, 
приложение № 2; 207-ПП",,"пр. Ленина, д. 1 «А», строение 2",
1562,33,661710975220005,Дом общества потребителей,,регионального значения,памятник,859-ПП,,"пр. Ленина, д. 3",
1563,34,661710975130005,Дом купца Аксенова,,регионального значения,памятник,859-ПП,,"пр. Ленина, д. 3-а",
1564,35,661720975210005,Усадьба управителя Любимова,,регионального значения,ансамбль,859-ПП,,"пр. Ленина, д. 4",
1565,36,661710975170005,Магазин Ахаимовой,,регионального значения,памятник,859-ПП,,"пр. Ленина, д. 4-а",
1566,37,661710747610005,"Дом, где в мае 1919 г. проходило первое собрание комсомольцев и возникла городская организация РКСМ",,регионального значения,памятник,454,,"пр. Ленина, д. 7",
1567,38,661710975280005,"Бывший дом Копылова, имеющий смешение архитектурных стилей",конец XIX в.,регионального значения,памятник,454,,"пр. Ленина, д 11",
1568,39,661710975030005,Дом купца Комиссарова,,регионального значения,памятник,859-ПП,,"пр. Ленина, д. 13",
1569,40,661710975270005,Дом Герминых,,регионального значения,памятник,859-ПП,,"пр. Ленина, д. 15",
1570,41,661710747620005,"Дом, где в 1918 г. формировались кавалерийские части Красной Армии",,регионального значения,памятник,454,,"пр. Ленина, д. 17",
1571,42,661710975260005,Дом купца Хлопотова,,регионального значения,памятник,859-ПП,,"пр. Ленина, д. 19",
1572,43,661710747630005,"Дом, в котором находился 
в 1918 г. штаб Красной гвардии",,регионального значения,памятник,454,,"пр. Ленина, д. 21",
1573,44,661710975250005,"Здание горно-металлургического техникума, построенное в стиле казенной административной архитектуры",конец XIX в.,регионального значения,памятник,454,,"пр. Ленина, д. 38",
1574,45,661720975040005,"Комплекс жилых домов 
по пр. Ленина","1950 г., архитекторы 
Я. Свирский, 
Г. Тиме",регионального значения,ансамбль,454,,,
1575,46,661710975040055,Жилой дом,,регионального значения,памятник,,,"пр. Ленина, д. 59",
1576,47,661710975040025,Жилой дом,,регионального значения,памятник,,,"пр. Ленина, д. 61",
1577,48,661710975040035,Жилой дом,,регионального значения,памятник,,,"пр. Ленина, д. 63",
1578,49,661710975040015,Жилой дом,,регионального значения,памятник,,,"пр. Ленина, д. 65",
1579,50,661710975040045,Жилой дом,,регионального значения,памятник,,,"пр. Ленина, д. 71",
1580,51,661710974980005,Здание земского училища,конец XIX в.,регионального значения,памятник,454; 207-ПП,,"Липовый тракт, д. 11",
1581,52,661710983750005,Башня сторожевая на Лисьей горе,1868 г.,регионального значения,памятник,"1327, 
приложение № 2; 
452; 1306-п",,На Лисьей (Лысой) горе,
1582,53,661721249810005,"Сооружение Нижнетагильского металлургического комбината, в том числе:",,регионального значения,ансамбль,636,,Нижнетагильский металлургический комбинат,
1583,54,661711249810025,бандажный (ныне прокатный № 1) цех,1936 г.,регионального значения,памятник,,,,
1584,55,661711249810015,доменная печь № 1,1940 г.,регионального значения,памятник,,,,
1585,56,661710975200005,Магазин Мозгунова,,регионального значения,памятник,859-ПП,,"ул. Огаркова, д. 5",
1586,57,661710975180005,Дом торговца Колодкина,,регионального значения,памятник,859-ПП,,"ул. Огаркова, д. 7",
1587,58,661710983760005,Дом жилой,,регионального значения,памятник,859-ПП,,"ул. Первомайская, д. 3",
1588,59,661710975000005,Дом жилой,,регионального значения,памятник,859-ПП,,"ул. Первомайская, д. 5",
1589,60,661710784250005,Дом жилой,,регионального значения,памятник,859-ПП,,"ул. Первомайская, 
д. 15",
1590,61,661710975060006,"35000 танк, выпущенный 
Н-Тагильским Уралвагонзаводом в годы Великой Отечественной войны 1941-1945 гг.",,федерального значения,памятник,624; 452,,проходная Уралвагонзавода,
1591,62,661710784260005,Александро-Невская церковь на Гальянке,"1862-1877 гг., архитектор Т.Ф. Гирст",регионального значения,памятник,454; 207-ПП,,"ул. Совхозная, д. 5",
1592,63,661711035390005,"Памятный знак, установленный в честь выплавки в декабре 1967 г. Нижнетагильским металлургическим комбинатом стомиллионной тонны стали",,регионального значения,памятник,624; 452; 1306-п,,пл. Сталеплавильщиков,
1593,64,661710758050005,"Здание, в котором находилось первое женское училище 
в городе, в 20-30 гг. XX в. – первая образцовая школа 
им. Н.К. Крупской",,регионального значения,памятник,454,,"ул. Тагильская, д. 1",
1594,65,661710975160006,"Дом Худояровых Исаака Федоровича и Вонифатия Исааковича, в котором они жили в 1850-1860 гг.",,федерального значения,памятник,"1327, приложение № 1",,"ул. Тагильская, д. 24",
1595,66,661710975320006,Жилой дом,"первая половина
XIX в.",федерального значения,памятник,624,,"ул. Тагильская, д. 26",
1596,67,661710820860005,"Дом, в котором находился рабочий клуб и в 1905 г. выступал Я.М. Свердлов",,регионального значения,памятник,454,,"ул. Тагильская, 
д. 29-31",
1597,68,661710974990006,"Памятник
Е.А. и М.Е. Черепановым","1956 г., скульптор 
А.С. Кондратьев, архитектор А.В. Сотников",федерального значения,памятник,"1327, 
приложение № 1",,Театральная площадь,
1598,69,661721097580005,Комплекс Нижнетагильского металлургического завода,1725 г.,регионального значения,ансамбль,535,,территория НТМЗ,
1599,70,661711097580075,Цех доменный,1920-1930 гг.,регионального значения,памятник,,,,
1600,71,661711097580055,Цеха прокатные,1902 г.,регионального значения,памятник,,,,
1601,72,661711097580035,Энергоцех,1891 г.,регионального значения,памятник,,,,
1602,73,661711097580045,Цех кузнечный,1840 г.,регионального значения,памятник,,,,
1603,74,661711097580025,Цех мартеновский,1875 г.,регионального значения,памятник,,,,
1604,75,661711097580105,Корпус штанговый,1840 г.,регионального значения,памятник,,,,
1605,76,661711097580085,Контора заводская,1840 г.,регионального значения,памятник,,,,
1606,77,661711097580015,"Здание конюшен, пожарной части и заводского театра",1840 г.,регионального значения,памятник,,,,
1607,78,661711097580065,Цех механический,1840 г.,регионального значения,памятник,,,,
1608,79,661711097580095,Конюшенный двор,1840 г.,регионального значения,памятник,,,,
1609,80,661721097820005,Здание первых электростанций на Урале,,регионального значения,ансамбль,454,,территория НТМК,
1610,81,661711097820015,I заводская электростанция,1913 г.,регионального значения,памятник,,,,
1611,82,661711097820025,I советская электростанция,,регионального значения,памятник,,,,
1612,83,661710974970005,Свято-Троицкая единоверческая церковь,1877-1885 гг.,регионального значения,памятник,859-ПП; 207-ПП,,"ул. Трудовая, д. 3",
1613,84,661710787920005,Магазин провиантский нижний,"середина
XVIII в., 
1979-1984 гг. (реставрация)",регионального значения,памятник,"1327, 
приложение № 2; 207-ПП",,"ул. Уральская, д. 2 «А»",
1614,85,661710787910005,Дом инспектора училищ,"конец XIX в.,
первая половина 
XX в.",регионального значения,памятник,859-ПП; 207-ПП,,"ул. Уральская, д. 4, корпус 1",
1615,86,661710787900005,Здание горнозаводского (реального) училища,1902-1905 гг.,регионального значения,памятник,454; 207-ПП,,"ул. Уральская, д. 4",
1616,87,661710787890005,Дом жилой,,регионального значения,памятник,859-ПП,,"ул. Уральская, д. 6",
1617,88,661710787870005,"Здание земского дома, 
в котором в 1905 г. 
помещалась тюрьма политзаключенных",,регионального значения,памятник,454,,"ул. Уральская, д. 8",
1618,89,661710787880005,Дом Орлова,,регионального значения,памятник,859-ПП,,"ул. Уральская, д. 20",
,,,"Объекты
археологического наследия",,,,,,,
1619,90,661740755220006,жертвенное место «Голый камень»,,федерального значения,памятник,"1327, 
приложение № 1",,,
1620,91,661640731510006,Ст. Евстюниха I,неолит,федерального значения,памятник,454,,,
1621,92,661640731500006,Стоянка Евстюниха III,"мезолит,
ранний железный век",федерального значения,памятник,535,,,
1622,93,661740755070006,Стоянка Мурино,"мезолит,
ранний железный век",федерального значения,памятник,535,,,
1623,94,661740755080006,Стоянка Ольховка,железный век,федерального значения,памятник,535,,,
1624,95,661640732260006,Стоянка «Чащиха»,неолит,федерального значения,памятник,"1327, 
приложение № 1;
452; 1306-п",,,
1625,96,661740755370006,Четыре неолитические стоянки Горбуновского торфяника,неолит,федерального значения,ансамбль,"1327, 
приложение № 1",,,
1626,97,661740754850006,Стоянка Береговая III,"ранняя бронза, ранний железный век",федерального значения,памятник,535,,,
1627,98,661640731540006,Стоянка Береговая IV,ранняя бронза,федерального значения,памятник,535,,,
1628,99,661740754860006,Ст. Ашка I,"мезолит, неолит, 
ранний железный век",федерального значения,памятник,454,,,
1629,100,661740754870006,Ст. Ашка II,мезолит,федерального значения,памятник,454,,,
1630,101,661740754880006,Стоянка Ручей на Утке,ранний железный век,федерального значения,памятник,535,,,
1631,102,661640730560006,Ст. Полуденка III,"неолит, мезолит",федерального значения,памятник,454,,,
1632,103,661640730530006,Стоянка Полуденка VI,"мезолит, железный век, средневековье",федерального значения,памятник,535,,,
1633,104,661640730130006,Стоянка Полуденка VII,мезолит,федерального значения,памятник,535,,,
1634,105,661740754890006,Стоянка Камень Дыроватый I,ранний железный век,федерального значения,памятник,535,,,
1635,106,661740754840006,Жертвенное место Камень Дыроватый IV,мезолит - средневековье,федерального значения,памятник,535,,,
1636,107,661740754900006,Ст. Стрелка,неолит,федерального значения,памятник,454,,,
1637,108,661740754910006,Ст. IV Разрез,"энеолит, бронзовый век",федерального значения,памятник,454,,,
1638,109,661740754920006,Ст. Купол,"поздний неолит, ранняя бронза 
и ранний железный век",федерального значения,памятник,454,,,
1639,110,661640731520006,Ст. Серый Камень,"мезолит, неолит, бронза, ранний железный век",федерального значения,памятник,454,,,
1640,111,661740754930006,Ст. I-я Береговая,"поздний неолит,
развитая бронза",федерального значения,памятник,454,,,
1641,112,661740754940006,Ст. II-я Береговая,"поздний неолит, энеолит, ранний бронзовый век",федерального значения,памятник,454,,,
1642,113,661740755090006,Стоянка Чащиха II,мезолит,федерального значения,памятник,535,,,
1643,114,661640731550006,Стоянка Чащиха III,ранний железный век,федерального значения,памятник,535,,,
Городской округ Нижняя Салда,,,,,,,,,,
1644,1,661710975350005,Церковь Александра Невского,"1905 г., архитектор С.С. Козлов",регионального значения,памятник,75,,"г. Нижняя Салда, 
ул. Энгельса, здание 60",
1645,2,661710975340005,Никольская церковь,1826-1834 гг.,регионального значения,памятник,454; 207-ПП,,"г. Нижняя Салда, 
ул. Розы Люксембург, д. 2",
1646,3,661710975360005,Доменная печь № 1 Нижнесалдинского металлургического завода,1871 г.,регионального значения,памятник,454,,"г. Нижняя Салда, территория Нижнесалдинского металлургического завода",
Новолялинский городской округ,,,,,,,,,,
,,,"Объекты
археологического наследия",,,,,,,
1647,1,661740747500006,Ст. в Лобвинской (Шайтанской пещере),"неолит,
ранее средневековье",федерального значения,памятник,454,,,
Городской округ Пелым,,,,,,,,,,
,,,"Объекты
археологического наследия",,,,,,,
1648,1,661740747210006,Ст. Атымья I,средневековье,федерального значения,памятник,454,,,
1649,2,661740747220006,Ст. Атымья II,затруднена,федерального значения,памятник,454,,,
1650,3,661740747230006,Пос. Атымья VII,"энеолит,
ранний бронзовый век",федерального значения,памятник,454,,,
1651,4,661740747240006,Пос. Атымья III,"энеолит,
ранний бронзовый век",федерального значения,памятник,454,,,
1652,5,661740747250006,Пос. Атымья IХ,"энеолит,
ранний железный век",федерального значения,памятник,454,,,
1653,6,661740747260006,"Пос. Атымья XII
(Ермакова Яма)",средневековье,федерального значения,памятник,454,,,
1654,7,661740747270006,Сел. Вершина I,"раннее железо,
средневековье",федерального значения,памятник,454,,,
